respondent_id,age,years_education,highest_degree,bachelors_or_more,annual_family_income,employment_status,sex,race
3702,25.0,12.0,high school,0.0,28485.0,working full time,female,black
3704,26.0,14.0,high school,0.0,34815.0,working full time,female,black
3708,39.0,16.0,bachelor's,1.0,63300.0,working full time,female,black
3710,36.0,12.0,high school,0.0,23737.5,working full time,female,black
3711,28.0,16.0,graduate,1.0,34815.0,working full time,female,black
3712,33.0,16.0,bachelor's,1.0,42727.5,working full time,female,black
3713,61.0,12.0,high school,0.0,52222.5,working full time,female,black
3715,31.0,14.0,high school,0.0,34815.0,working full time,female,black
3716,25.0,15.0,high school,0.0,316.5,temporarily not at work,female,black
3717,33.0,13.0,high school,0.0,13451.25,working part time,female,black
3719,62.0,14.0,high school,0.0,34815.0,working full time,female,black
3722,34.0,15.0,high school,0.0,17407.5,working full time,female,black
3725,47.0,13.0,high school,0.0,11868.75,working full time,female,black
3727,35.0,16.0,bachelor's,1.0,42727.5,working full time,female,black
3728,32.0,20.0,less than high school,0.0,5697.0,working part time,female,black
3729,39.0,14.0,high school,0.0,23737.5,working full time,female,black
