respondent_id,age,years_education,highest_degree,bachelors_or_more,annual_family_income,employment_status,sex,race
3000,44.0,14.0,high school,0.0,13451.25,working part time,male,white
3002,41.0,14.0,high school,0.0,42727.5,temporarily not at work,female,other
3004,36.0,12.0,high school,0.0,20572.5,working full time,male,white
3007,36.0,8.0,less than high school,0.0,42727.5,working part time,female,other
3009,30.0,12.0,high school,0.0,,working part time,male,white
3011,35.0,12.0,less than high school,0.0,88620.0,working full time,male,black
3013,57.0,12.0,high school,0.0,42727.5,working full time,female,white
3016,41.0,12.0,high school,0.0,13451.25,working part time,male,other
3017,26.0,17.0,bachelor's,1.0,,working full time,female,other
3018,54.0,4.0,less than high school,0.0,34815.0,working full time,male,other
3020,48.0,16.0,bachelor's,1.0,42727.5,working full time,male,other
3021,49.0,6.0,less than high school,0.0,34815.0,working full time,male,white
3022,46.0,12.0,high school,0.0,42727.5,temporarily not at work,male,other
3025,60.0,,less than high school,0.0,,working full time,male,white
3026,49.0,18.0,graduate,1.0,158424.85359,working full time,female,other
3027,41.0,16.0,bachelor's,1.0,88620.0,working full time,female,white
3030,28.0,12.0,high school,0.0,63300.0,working full time,male,white
3033,47.0,13.0,high school,0.0,28485.0,working full time,male,other
3037,60.0,14.0,associate/junior college,0.0,52222.5,working full time,female,other
3043,32.0,14.0,high school,0.0,13451.25,working part time,female,white
3045,29.0,16.0,bachelor's,1.0,,working full time,female,white
3049,34.0,11.0,less than high school,0.0,8703.75,working part time,female,other
3051,45.0,8.0,less than high school,0.0,7121.25,working part time,female,other
3056,26.0,14.0,associate/junior college,0.0,17407.5,working part time,female,other
3058,62.0,13.0,high school,0.0,23737.5,working full time,male,white
3065,46.0,12.0,high school,0.0,28485.0,working full time,female,other
3069,62.0,17.0,bachelor's,1.0,42727.5,temporarily not at work,male,white
3071,38.0,14.0,high school,0.0,20572.5,temporarily not at work,female,white
3075,50.0,14.0,high school,0.0,7121.25,working part time,female,white
3077,61.0,16.0,bachelor's,1.0,158424.85359,working full time,male,white
3081,51.0,16.0,bachelor's,1.0,52222.5,working full time,male,white
3083,25.0,13.0,high school,0.0,28485.0,working full time,female,other
3084,60.0,12.0,high school,0.0,42727.5,working full time,female,white
3086,36.0,14.0,associate/junior college,0.0,4114.5,working part time,male,white
3087,52.0,13.0,high school,0.0,158424.85359,temporarily not at work,female,white
3090,27.0,15.0,high school,0.0,20572.5,working full time,male,white
3091,59.0,14.0,high school,0.0,34815.0,working part time,female,white
3092,33.0,12.0,high school,0.0,75960.0,working full time,female,white
3093,62.0,14.0,associate/junior college,0.0,63300.0,working full time,male,white
3099,48.0,12.0,high school,0.0,52222.5,temporarily not at work,female,white
3101,42.0,16.0,bachelor's,1.0,,working full time,female,white
3102,64.0,16.0,bachelor's,1.0,75960.0,working full time,female,white
3104,52.0,18.0,graduate,1.0,101280.0,working full time,female,white
3108,50.0,15.0,high school,0.0,,working full time,male,white
3110,25.0,12.0,high school,0.0,23737.5,temporarily not at work,male,white
3111,58.0,17.0,bachelor's,1.0,42727.5,working full time,male,white
3112,35.0,14.0,associate/junior college,0.0,63300.0,working full time,female,white
3114,44.0,14.0,associate/junior college,0.0,,working full time,male,black
3116,33.0,19.0,graduate,1.0,42727.5,working full time,female,white
3118,31.0,12.0,high school,0.0,10286.25,working part time,female,other
3119,37.0,14.0,associate/junior college,0.0,,temporarily not at work,male,
3120,53.0,17.0,high school,0.0,,temporarily not at work,female,white
3124,46.0,18.0,graduate,1.0,23737.5,working full time,female,white
3125,60.0,16.0,bachelor's,1.0,28485.0,working part time,female,white
3126,25.0,11.0,less than high school,0.0,17407.5,temporarily not at work,female,white
3129,45.0,19.0,graduate,1.0,34815.0,working part time,female,white
3130,47.0,16.0,bachelor's,1.0,28485.0,working full time,female,white
3139,43.0,15.0,associate/junior college,0.0,63300.0,working full time,male,white
3140,50.0,18.0,graduate,1.0,158424.85359,working full time,male,white
3146,45.0,16.0,bachelor's,1.0,101280.0,working full time,male,white
3147,54.0,14.0,high school,0.0,8703.75,working part time,female,white
3153,63.0,17.0,bachelor's,1.0,52222.5,working full time,female,white
3158,51.0,17.0,high school,0.0,63300.0,working full time,female,white
3163,42.0,9.0,high school,0.0,15033.75,working full time,female,white
3164,31.0,12.0,high school,0.0,13451.25,working full time,female,white
3166,33.0,14.0,high school,0.0,28485.0,working part time,male,white
3168,32.0,16.0,bachelor's,1.0,20572.5,working full time,male,white
3170,50.0,12.0,high school,0.0,20572.5,temporarily not at work,female,white
3173,38.0,10.0,high school,0.0,17407.5,working part time,male,white
3174,33.0,14.0,associate/junior college,0.0,20572.5,working full time,female,white
3176,43.0,14.0,high school,0.0,34815.0,temporarily not at work,female,white
3180,34.0,15.0,high school,0.0,8703.75,temporarily not at work,male,white
3181,38.0,16.0,bachelor's,1.0,63300.0,working full time,female,white
3182,42.0,13.0,high school,0.0,101280.0,working full time,male,other
3184,47.0,14.0,high school,0.0,63300.0,working full time,female,white
3185,26.0,12.0,high school,0.0,23737.5,working full time,male,white
3189,35.0,16.0,bachelor's,1.0,34815.0,working full time,male,white
3194,38.0,12.0,high school,0.0,158424.85359,working full time,male,white
3196,57.0,12.0,less than high school,0.0,,working full time,female,white
3200,40.0,20.0,graduate,1.0,63300.0,working part time,female,white
3202,49.0,18.0,graduate,1.0,,working full time,male,white
3203,36.0,16.0,bachelor's,1.0,158424.85359,working part time,female,white
3204,35.0,14.0,high school,0.0,28485.0,working part time,female,other
3205,42.0,16.0,bachelor's,1.0,63300.0,working full time,female,white
3206,39.0,14.0,high school,0.0,23737.5,working full time,male,white
3208,45.0,16.0,bachelor's,1.0,28485.0,working full time,male,white
3211,45.0,17.0,bachelor's,1.0,158424.85359,working full time,male,white
3215,28.0,12.0,high school,0.0,28485.0,working full time,male,white
3216,64.0,20.0,graduate,1.0,158424.85359,working full time,male,white
3218,35.0,18.0,graduate,1.0,158424.85359,working full time,female,white
3220,46.0,14.0,high school,0.0,,working full time,male,white
3221,63.0,14.0,high school,0.0,75960.0,working part time,female,white
3223,46.0,14.0,high school,0.0,28485.0,working full time,male,white
3225,46.0,20.0,bachelor's,1.0,75960.0,working full time,female,white
3229,38.0,18.0,bachelor's,1.0,42727.5,working full time,female,white
3231,38.0,20.0,graduate,1.0,158424.85359,working part time,female,white
3232,60.0,20.0,graduate,1.0,75960.0,working full time,male,white
3234,36.0,11.0,high school,0.0,28485.0,working full time,female,white
3239,39.0,9.0,less than high school,0.0,42727.5,working full time,male,other
3243,31.0,11.0,high school,0.0,52222.5,working full time,male,white
3244,57.0,19.0,graduate,1.0,158424.85359,working full time,male,white
3245,44.0,13.0,high school,0.0,42727.5,working full time,male,white
3248,61.0,20.0,graduate,1.0,158424.85359,temporarily not at work,female,black
3249,31.0,12.0,high school,0.0,1266.0,working part time,male,white
3251,40.0,11.0,high school,0.0,11868.75,working full time,female,white
3254,42.0,17.0,bachelor's,1.0,,working part time,female,white
3255,64.0,12.0,high school,0.0,20572.5,working full time,female,white
3257,45.0,12.0,high school,0.0,42727.5,working full time,male,white
3258,51.0,12.0,high school,0.0,20572.5,working full time,male,white
3260,46.0,12.0,high school,0.0,15033.75,working full time,female,white
3262,38.0,16.0,bachelor's,1.0,42727.5,working full time,male,white
3263,60.0,15.0,high school,0.0,42727.5,working full time,female,white
3264,62.0,14.0,high school,0.0,52222.5,working full time,male,white
